,target
232,Airplane
233,Airplane
234,Airplane
235,Airplane
236,Bird
237,Bird
238,Bird
239,Bird
240,Airplane
241,Airplane
242,Airplane
243,Airplane
244,Bird
245,Bird
246,Bird
247,Bird
248,Bird
249,Airplane
250,Bird
251,Bird
252,Bird
253,Bird
254,Airplane
255,Bird
256,Airplane
257,Airplane
258,Airplane
259,Airplane
260,Bird
261,Bird
262,Bird
263,Bird
264,Bird
265,Airplane
266,Bird
267,Airplane
268,Bird
269,Bird
270,Airplane
271,Bird
272,Airplane
273,Bird
274,Bird
275,Airplane
276,Bird
277,Bird
278,Bird
279,Airplane
280,Airplane
281,Airplane
282,Bird
283,Bird
284,Bird
285,Airplane
286,Airplane
287,Bird
288,Airplane
289,Bird
290,Airplane
291,Bird
292,Airplane
293,Airplane
294,Airplane
295,Bird
296,Bird
297,Airplane
298,Bird
299,Airplane
300,Bird
301,Airplane
302,Airplane
303,Bird
304,Airplane
305,Airplane
306,Airplane
307,Bird
308,Airplane
309,Airplane
310,Airplane
311,Bird
312,Bird
313,Bird
314,Airplane
315,Airplane
316,Bird
317,Airplane
318,Airplane
319,Bird
320,Bird
321,Airplane
322,Bird
323,Bird
324,Bird
325,Airplane
326,Airplane
327,Bird
328,Airplane
329,Airplane
330,Bird
331,Bird
332,Bird
333,Bird
334,Airplane
335,Bird
336,Airplane
337,Airplane
338,Airplane
339,Airplane
340,Bird
341,Airplane
342,Bird
343,Bird
344,Airplane
345,Bird
346,Bird
347,Bird
348,Airplane
349,Bird
350,Airplane
351,Airplane
352,Bird
353,Bird
354,Bird
355,Airplane
356,Bird
357,Airplane
358,Airplane
359,Bird
360,Airplane
361,Bird
362,Bird
363,Airplane
364,Airplane
365,Airplane
366,Airplane
367,Bird
368,Airplane
369,Airplane
370,Bird
371,Airplane
372,Airplane
373,Airplane
374,Bird
375,Airplane
376,Bird
377,Airplane
378,Airplane
379,Bird
380,Airplane
381,Bird
382,Bird
383,Bird
384,Airplane
385,Bird
386,Bird
387,Airplane
388,Bird
389,Bird
390,Airplane
391,Bird
392,Airplane
393,Bird
394,Bird
395,Airplane
396,Bird
397,Bird
398,Bird
399,Bird
400,Bird
401,Airplane
402,Bird
403,Airplane
404,Bird
405,Airplane
406,Airplane
407,Airplane
408,Bird
409,Bird
410,Bird
411,Airplane
412,Airplane
413,Bird
414,Bird
415,Bird
416,Airplane
417,Bird
418,Airplane
419,Airplane
420,Airplane
421,Airplane
422,Airplane
423,Bird
424,Bird
425,Bird
426,Bird
427,Airplane
428,Bird
429,Bird
430,Airplane
431,Airplane
432,Bird
433,Bird
434,Bird
435,Airplane
436,Airplane
437,Airplane
438,Airplane
439,Bird
440,Bird
441,Bird
442,Bird
443,Bird
444,Bird
445,Airplane
446,Bird
447,Airplane
448,Airplane
449,Bird
450,Airplane
451,Bird
452,Bird
453,Bird
454,Airplane
455,Bird
456,Bird
457,Bird
458,Bird
459,Airplane
460,Airplane
461,Airplane
462,Airplane
463,Bird
464,Bird
465,Airplane
466,Airplane
467,Bird
468,Bird
469,Bird
470,Bird
471,Airplane
472,Bird
473,Bird
474,Bird
475,Airplane
476,Airplane
477,Bird
478,Airplane
479,Bird
480,Airplane
481,Bird
482,Airplane
483,Airplane
484,Bird
485,Airplane
486,Airplane
487,Airplane
488,Bird
489,Bird
490,Bird
491,Airplane
492,Airplane
493,Bird
494,Bird
495,Bird
496,Airplane
497,Bird
498,Airplane
499,Airplane
500,Airplane
501,Bird
502,Bird
503,Airplane
504,Airplane
505,Airplane
506,Bird
507,Bird
508,Bird
509,Bird
510,Bird
511,Airplane
512,Airplane
513,Bird
514,Airplane
515,Bird
516,Bird
517,Bird
518,Bird
519,Bird
520,Bird
521,Bird
522,Airplane
523,Bird
524,Airplane
525,Bird
526,Bird
527,Airplane
528,Airplane
529,Airplane
530,Airplane
531,Airplane
532,Bird
533,Airplane
534,Airplane
535,Bird
536,Airplane
537,Bird
538,Airplane
539,Airplane
540,Airplane
541,Airplane
542,Bird
543,Airplane
544,Airplane
545,Airplane
546,Bird
547,Airplane
548,Bird
549,Airplane
550,Airplane
551,Bird
552,Bird
553,Bird
554,Airplane
555,Airplane
556,Airplane
557,Bird
558,Bird
559,Airplane
560,Airplane
561,Bird
562,Airplane
563,Airplane
564,Bird
565,Bird
566,Airplane
567,Bird
568,Airplane
569,Airplane
570,Airplane
571,Airplane
572,Bird
573,Bird
574,Airplane
575,Bird
576,Airplane
577,Airplane
578,Bird
579,Airplane
580,Bird
581,Bird
582,Airplane
583,Bird
584,Airplane
585,Bird
586,Bird
587,Bird
588,Airplane
589,Airplane
590,Bird
591,Bird
592,Bird
593,Airplane
594,Airplane
595,Bird
596,Bird
597,Bird
598,Bird
599,Airplane
600,Bird
601,Airplane
602,Bird
603,Bird
604,Airplane
605,Bird
606,Bird
607,Airplane
608,Bird
609,Airplane
610,Bird
611,Airplane
612,Bird
613,Airplane
614,Bird
615,Airplane
616,Bird
617,Airplane
618,Airplane
619,Bird
620,Bird
621,Bird
622,Airplane
623,Bird
624,Bird
625,Bird
626,Airplane
627,Bird
628,Bird
629,Bird
630,Bird
631,Airplane
632,Bird
633,Bird
634,Airplane
635,Airplane
636,Bird
637,Bird
638,Bird
639,Bird
640,Airplane
641,Bird
642,Bird
643,Airplane
644,Bird
645,Bird
646,Bird
647,Bird
648,Bird
649,Airplane
650,Airplane
651,Airplane
652,Airplane
653,Bird
654,Airplane
655,Airplane
656,Airplane
657,Bird
658,Airplane
659,Bird
660,Bird
661,Airplane
662,Bird
663,Bird
664,Airplane
665,Bird
666,Airplane
667,Bird
668,Airplane
669,Bird
670,Bird
671,Bird
672,Bird
673,Airplane
674,Bird
675,Bird
676,Airplane
677,Bird
678,Airplane
679,Bird
680,Airplane
681,Bird
682,Airplane
683,Airplane
684,Airplane
685,Bird
686,Bird
687,Bird
688,Airplane
689,Airplane
690,Bird
691,Bird
692,Bird
693,Bird
694,Bird
695,Airplane
696,Airplane
697,Bird
698,Bird
699,Bird
700,Bird
701,Airplane
702,Airplane
703,Bird
704,Airplane
705,Bird
706,Airplane
707,Airplane
708,Airplane
709,Airplane
710,Bird
711,Airplane
712,Bird
713,Airplane
714,Bird
715,Bird
716,Airplane
717,Bird
718,Bird
719,Bird
720,Airplane
721,Bird
722,Airplane
723,Airplane
724,Airplane
725,Bird
726,Airplane
727,Bird
728,Bird
729,Airplane
730,Bird
731,Bird
732,Bird
733,Bird
734,Airplane
735,Bird
736,Airplane
737,Airplane
738,Airplane
739,Bird
740,Bird
741,Bird
742,Bird
743,Airplane
744,Airplane
745,Airplane
746,Bird
747,Bird
748,Airplane
749,Bird
750,Bird
751,Airplane
752,Airplane
753,Bird
754,Bird
755,Airplane
756,Bird
757,Airplane
758,Airplane
759,Bird
760,Bird
761,Airplane
762,Bird
763,Bird
764,Airplane
765,Bird
766,Airplane
767,Bird
768,Airplane
769,Airplane
770,Airplane
771,Airplane
772,Airplane
773,Bird
774,Bird
775,Airplane
776,Bird
777,Bird
778,Bird
779,Bird
780,Bird
781,Bird
782,Airplane
783,Bird
784,Bird
785,Airplane
786,Airplane
787,Airplane
788,Airplane
789,Bird
790,Airplane
791,Bird
792,Airplane
793,Bird
794,Airplane
795,Airplane
796,Bird
797,Airplane
798,Airplane
799,Airplane
800,Bird
801,Airplane
802,Bird
803,Airplane
804,Airplane
805,Bird
806,Bird
807,Airplane
808,Bird
809,Airplane
810,Airplane
811,Bird
812,Bird
813,Bird
814,Bird
815,Bird
816,Bird
817,Airplane
818,Bird
819,Airplane
820,Airplane
821,Airplane
822,Bird
823,Airplane
824,Airplane
825,Airplane
826,Airplane
827,Airplane
828,Airplane
829,Airplane
830,Airplane
831,Bird
832,Bird
833,Bird
834,Bird
835,Bird
836,Bird
837,Airplane
838,Bird
839,Airplane
840,Bird
841,Bird
842,Bird
843,Airplane
844,Airplane
845,Airplane
846,Airplane
847,Airplane
848,Bird
849,Bird
850,Airplane
851,Airplane
852,Airplane
853,Airplane
854,Airplane
855,Airplane
856,Bird
857,Airplane
858,Bird
859,Airplane
860,Bird
861,Bird
862,Bird
863,Airplane
864,Bird
865,Airplane
866,Airplane
867,Bird
868,Bird
869,Airplane
870,Bird
871,Bird
872,Bird
873,Bird
874,Bird
875,Bird
876,Airplane
877,Airplane
878,Bird
879,Airplane
880,Bird
881,Airplane
882,Airplane
883,Airplane
884,Bird
885,Airplane
886,Bird
887,Bird
888,Bird
889,Bird
890,Airplane
891,Bird
892,Airplane
893,Bird
894,Bird
895,Airplane
896,Airplane
897,Airplane
898,Airplane
899,Airplane
900,Bird
901,Airplane
902,Airplane
903,Airplane
904,Bird
905,Bird
906,Bird
907,Airplane
908,Bird
909,Airplane
910,Bird
911,Bird
912,Airplane
913,Bird
914,Airplane
915,Airplane
916,Bird
917,Bird
918,Bird
919,Airplane
920,Bird
921,Bird
922,Bird
923,Bird
924,Airplane
925,Airplane
926,Airplane
927,Airplane
928,Bird
929,Bird
930,Airplane
931,Bird
932,Bird
933,Bird
934,Bird
935,Airplane
936,Airplane
937,Airplane
938,Airplane
939,Bird
940,Bird
941,Bird
942,Airplane
943,Airplane
944,Airplane
945,Airplane
946,Airplane
947,Bird
948,Airplane
949,Airplane
950,Airplane
951,Bird
952,Bird
953,Bird
954,Airplane
955,Bird
956,Airplane
957,Bird
958,Airplane
959,Bird
960,Bird
961,Airplane
962,Airplane
963,Bird
964,Airplane
965,Airplane
966,Bird
967,Airplane
968,Bird
969,Airplane
970,Bird
971,Airplane
972,Airplane
973,Bird
974,Bird
975,Airplane
976,Airplane
977,Bird
978,Airplane
979,Bird
980,Bird
981,Airplane
982,Bird
983,Bird
984,Bird
985,Bird
986,Bird
987,Airplane
988,Bird
989,Airplane
990,Airplane
991,Bird
992,Bird
993,Bird
994,Bird
995,Bird
996,Airplane
997,Airplane
998,Bird
999,Bird
1000,Airplane
1001,Bird
1002,Bird
1003,Airplane
1004,Airplane
1005,Airplane
1006,Airplane
1007,Bird
1008,Airplane
1009,Bird
1010,Bird
1011,Airplane
1012,Bird
1013,Airplane
1014,Airplane
1015,Bird
1016,Bird
1017,Bird
1018,Airplane
1019,Bird
1020,Airplane
1021,Airplane
1022,Airplane
1023,Airplane
1024,Bird
1025,Bird
1026,Airplane
1027,Airplane
1028,Airplane
1029,Airplane
1030,Bird
1031,Airplane
1032,Bird
1033,Airplane
1034,Bird
1035,Bird
1036,Airplane
1037,Airplane
1038,Airplane
1039,Airplane
1040,Airplane
1041,Bird
1042,Airplane
1043,Bird
1044,Bird
1045,Bird
1046,Bird
1047,Airplane
1048,Airplane
1049,Airplane
1050,Bird
1051,Airplane
1052,Bird
1053,Bird
1054,Airplane
1055,Airplane
1056,Bird
1057,Airplane
1058,Airplane
1059,Airplane
1060,Airplane
1061,Airplane
1062,Bird
1063,Airplane
1064,Airplane
1065,Bird
1066,Bird
1067,Bird
1068,Bird
1069,Airplane
1070,Airplane
1071,Bird
1072,Bird
1073,Bird
1074,Airplane
1075,Bird
1076,Airplane
1077,Bird
1078,Airplane
1079,Bird
1080,Airplane
1081,Bird
1082,Bird
1083,Airplane
1084,Bird
1085,Bird
1086,Bird
1087,Airplane
1088,Bird
1089,Airplane
1090,Airplane
1091,Airplane
1092,Airplane
1093,Airplane
1094,Bird
1095,Bird
1096,Bird
1097,Bird
1098,Airplane
1099,Airplane
1100,Airplane
1101,Airplane
1102,Bird
1103,Airplane
1104,Bird
1105,Bird
1106,Bird
1107,Bird
1108,Airplane
1109,Airplane
1110,Bird
1111,Airplane
1112,Bird
1113,Bird
1114,Airplane
1115,Airplane
1116,Bird
1117,Airplane
1118,Airplane
1119,Bird
1120,Airplane
1121,Airplane
1122,Airplane
1123,Airplane
1124,Bird
1125,Bird
1126,Airplane
1127,Airplane
1128,Airplane
1129,Airplane
1130,Airplane
1131,Airplane
1132,Bird
1133,Airplane
1134,Bird
1135,Airplane
1136,Bird
1137,Bird
1138,Airplane
1139,Airplane
1140,Bird
1141,Bird
1142,Bird
1143,Airplane
1144,Bird
1145,Airplane
1146,Bird
1147,Bird
1148,Bird
1149,Airplane
1150,Airplane
1151,Airplane
1152,Bird
1153,Bird
1154,Airplane
1155,Airplane
1156,Airplane
1157,Bird
1158,Bird
1159,Bird
1160,Bird
1161,Bird
1162,Airplane
1163,Bird
1164,Airplane
1165,Airplane
1166,Bird
1167,Airplane
1168,Airplane
1169,Airplane
1170,Bird
1171,Bird
1172,Airplane
1173,Bird
1174,Bird
1175,Bird
1176,Bird
1177,Airplane
1178,Airplane
1179,Bird
1180,Bird
1181,Bird
1182,Bird
1183,Airplane
1184,Airplane
1185,Bird
1186,Airplane
1187,Airplane
1188,Bird
1189,Airplane
1190,Airplane
1191,Bird
1192,Bird
1193,Bird
1194,Airplane
1195,Airplane
1196,Bird
1197,Airplane
1198,Airplane
1199,Bird
1200,Airplane
1201,Bird
1202,Airplane
1203,Airplane
1204,Airplane
1205,Bird
1206,Airplane
1207,Airplane
1208,Airplane
1209,Bird
1210,Bird
1211,Bird
1212,Airplane
1213,Airplane
1214,Airplane
1215,Airplane
1216,Airplane
1217,Airplane
1218,Bird
1219,Airplane
1220,Bird
1221,Airplane
1222,Airplane
1223,Bird
1224,Airplane
1225,Bird
1226,Airplane
1227,Bird
1228,Airplane
1229,Airplane
1230,Airplane
1231,Bird
1232,Airplane
1233,Bird
1234,Bird
1235,Airplane
1236,Bird
1237,Bird
1238,Bird
1239,Bird
1240,Airplane
1241,Airplane
1242,Bird
1243,Airplane
1244,Airplane
1245,Bird
1246,Airplane
1247,Bird
1248,Bird
1249,Airplane
1250,Bird
1251,Bird
1252,Airplane
1253,Airplane
1254,Airplane
1255,Bird
1256,Airplane
1257,Bird
1258,Bird
1259,Airplane
1260,Airplane
1261,Bird
1262,Airplane
1263,Bird
1264,Airplane
1265,Airplane
1266,Airplane
1267,Airplane
1268,Airplane
1269,Airplane
1270,Airplane
1271,Airplane
1272,Bird
1273,Bird
1274,Airplane
1275,Airplane
1276,Airplane
1277,Bird
1278,Bird
1279,Bird
1280,Bird
1281,Bird
1282,Bird
1283,Bird
1284,Airplane
1285,Airplane
1286,Bird
1287,Airplane
1288,Bird
1289,Airplane
1290,Airplane
1291,Bird
1292,Bird
1293,Bird
1294,Airplane
1295,Airplane
1296,Airplane
1297,Bird
1298,Airplane
1299,Bird
1300,Airplane
1301,Bird
1302,Bird
1303,Bird
1304,Airplane
1305,Bird
1306,Bird
1307,Airplane
1308,Bird
1309,Airplane
1310,Airplane
1311,Bird
1312,Airplane
1313,Bird
1314,Airplane
1315,Airplane
1316,Bird
1317,Bird
1318,Bird
1319,Bird
1320,Airplane
1321,Bird
1322,Airplane
1323,Bird
1324,Airplane
1325,Bird
1326,Airplane
1327,Bird
1328,Bird
1329,Airplane
1330,Bird
1331,Airplane
1332,Bird
1333,Bird
1334,Bird
1335,Bird
1336,Airplane
1337,Bird
1338,Bird
1339,Airplane
1340,Bird
1341,Bird
1342,Bird
1343,Bird
1344,Bird
1345,Airplane
1346,Airplane
1347,Airplane
1348,Airplane
1349,Bird
1350,Airplane
1351,Airplane
1352,Bird
1353,Bird
1354,Bird
1355,Airplane
1356,Bird
1357,Airplane
1358,Bird
1359,Bird
1360,Bird
1361,Bird
1362,Airplane
1363,Bird
1364,Airplane
1365,Airplane
1366,Bird
1367,Bird
1368,Bird
1369,Bird
1370,Bird
1371,Bird
1372,Bird
1373,Bird
1374,Bird
1375,Airplane
1376,Airplane
1377,Bird
1378,Airplane
1379,Bird
1380,Bird
1381,Bird
1382,Airplane
1383,Bird
1384,Bird
1385,Airplane
1386,Airplane
1387,Bird
1388,Airplane
1389,Airplane
1390,Airplane
1391,Airplane
1392,Bird
1393,Airplane
1394,Bird
1395,Bird
1396,Airplane
1397,Airplane
1398,Bird
1399,Airplane
1400,Airplane
1401,Airplane
1402,Airplane
1403,Airplane
1404,Airplane
1405,Airplane
1406,Airplane
1407,Airplane
1408,Bird
1409,Airplane
1410,Airplane
1411,Airplane
1412,Bird
1413,Airplane
1414,Bird
1415,Airplane
1416,Bird
1417,Airplane
1418,Airplane
1419,Bird
1420,Airplane
1421,Airplane
1422,Bird
1423,Airplane
1424,Airplane
1425,Airplane
1426,Airplane
1427,Airplane
1428,Bird
1429,Bird
1430,Airplane
1431,Airplane
1432,Airplane
1433,Airplane
1434,Airplane
1435,Bird
1436,Airplane
1437,Airplane
1438,Airplane
1439,Airplane
1440,Airplane
1441,Bird
1442,Bird
1443,Airplane
1444,Airplane
1445,Airplane
1446,Airplane
1447,Bird
1448,Bird
1449,Bird
1450,Airplane
1451,Airplane
1452,Airplane
1453,Bird
1454,Airplane
1455,Airplane
1456,Bird
1457,Bird
1458,Airplane
1459,Bird
1460,Bird
1461,Airplane
1462,Bird
1463,Bird
1464,Bird
1465,Airplane
1466,Bird
1467,Airplane
1468,Airplane
1469,Airplane
1470,Bird
1471,Airplane
1472,Airplane
1473,Airplane
1474,Airplane
1475,Bird
1476,Bird
1477,Airplane
1478,Airplane
1479,Airplane
1480,Bird
1481,Airplane
1482,Airplane
1483,Bird
1484,Airplane
1485,Airplane
1486,Bird
1487,Bird
1488,Bird
1489,Airplane
1490,Airplane
1491,Bird
1492,Airplane
1493,Bird
1494,Bird
1495,Bird
1496,Bird
1497,Bird
1498,Airplane
1499,Bird
1500,Bird
1501,Bird
1502,Airplane
1503,Airplane
1504,Airplane
1505,Bird
1506,Bird
1507,Bird
1508,Bird
1509,Bird
1510,Bird
1511,Airplane
1512,Bird
1513,Airplane
1514,Bird
1515,Airplane
1516,Bird
1517,Airplane
1518,Bird
1519,Airplane
1520,Bird
1521,Airplane
1522,Bird
1523,Bird
1524,Airplane
1525,Airplane
1526,Bird
1527,Bird
1528,Airplane
1529,Bird
1530,Bird
1531,Airplane
1532,Bird
1533,Airplane
1534,Bird
1535,Airplane
1536,Bird
1537,Airplane
1538,Airplane
1539,Airplane
1540,Airplane
1541,Airplane
1542,Airplane
1543,Airplane
1544,Airplane
1545,Bird
1546,Bird
1547,Bird
1548,Bird
1549,Airplane
1550,Airplane
1551,Airplane
1552,Airplane
1553,Airplane
1554,Airplane
1555,Bird
1556,Airplane
1557,Bird
1558,Bird
1559,Bird
1560,Airplane
1561,Airplane
1562,Bird
1563,Bird
1564,Airplane
1565,Airplane
1566,Bird
1567,Airplane
1568,Bird
1569,Airplane
1570,Airplane
1571,Bird
1572,Airplane
1573,Airplane
1574,Airplane
1575,Airplane
1576,Airplane
1577,Bird
1578,Bird
1579,Airplane
1580,Bird
1581,Airplane
1582,Bird
1583,Bird
1584,Airplane
1585,Airplane
1586,Airplane
1587,Bird
1588,Airplane
1589,Bird
1590,Bird
1591,Airplane
1592,Airplane
1593,Airplane
1594,Airplane
1595,Bird
1596,Airplane
1597,Bird
1598,Airplane
1599,Bird
1600,Airplane
1601,Airplane
1602,Bird
1603,Bird
1604,Airplane
1605,Airplane
1606,Airplane
1607,Airplane
1608,Airplane
1609,Bird
1610,Airplane
1611,Airplane
1612,Airplane
1613,Bird
1614,Airplane
1615,Airplane
1616,Bird
1617,Airplane
1618,Bird
1619,Bird
1620,Airplane
1621,Bird
1622,Airplane
1623,Bird
1624,Airplane
1625,Airplane
1626,Bird
1627,Bird
1628,Airplane
1629,Bird
1630,Bird
1631,Bird
1632,Bird
1633,Airplane
1634,Airplane
1635,Airplane
1636,Airplane
1637,Airplane
1638,Bird
1639,Airplane
1640,Bird
1641,Airplane
1642,Airplane
1643,Bird
1644,Bird
1645,Airplane
1646,Bird
1647,Airplane
1648,Bird
1649,Bird
1650,Airplane
1651,Airplane
1652,Bird
1653,Airplane
1654,Bird
1655,Airplane
1656,Bird
1657,Airplane
1658,Airplane
1659,Bird
1660,Airplane
1661,Airplane
1662,Airplane
1663,Bird
1664,Airplane
1665,Bird
1666,Airplane
1667,Bird
1668,Bird
1669,Bird
1670,Bird
1671,Bird
1672,Bird
1673,Airplane
1674,Airplane
1675,Airplane
1676,Airplane
1677,Airplane
1678,Bird
1679,Airplane
1680,Airplane
1681,Bird
1682,Bird
1683,Airplane
1684,Airplane
1685,Airplane
1686,Airplane
1687,Airplane
1688,Bird
1689,Bird
1690,Bird
1691,Airplane
1692,Airplane
1693,Bird
1694,Bird
1695,Airplane
1696,Bird
1697,Bird
1698,Airplane
1699,Bird
1700,Airplane
1701,Airplane
1702,Bird
1703,Bird
1704,Airplane
1705,Airplane
1706,Bird
1707,Bird
1708,Airplane
1709,Airplane
1710,Airplane
1711,Bird
1712,Airplane
1713,Bird
1714,Airplane
1715,Airplane
1716,Bird
1717,Airplane
1718,Bird
1719,Airplane
1720,Bird
1721,Airplane
1722,Bird
1723,Bird
1724,Bird
1725,Bird
1726,Bird
1727,Bird
1728,Airplane
1729,Bird
1730,Airplane
1731,Airplane
1732,Airplane
1733,Bird
1734,Airplane
1735,Bird
1736,Airplane
1737,Bird
1738,Airplane
1739,Bird
1740,Airplane
1741,Airplane
1742,Airplane
1743,Airplane
1744,Airplane
1745,Bird
1746,Airplane
1747,Bird
1748,Airplane
1749,Airplane
1750,Airplane
1751,Bird
1752,Airplane
1753,Bird
1754,Bird
1755,Airplane
1756,Bird
1757,Airplane
1758,Airplane
1759,Airplane
1760,Airplane
1761,Bird
1762,Airplane
1763,Bird
1764,Airplane
1765,Bird
1766,Bird
1767,Airplane
1768,Airplane
1769,Bird
1770,Bird
1771,Bird
1772,Airplane
1773,Bird
1774,Airplane
1775,Bird
1776,Bird
1777,Airplane
1778,Bird
1779,Airplane
1780,Bird
1781,Bird
1782,Airplane
1783,Bird
1784,Bird
1785,Airplane
1786,Bird
1787,Bird
1788,Bird
1789,Bird
1790,Bird
1791,Airplane
1792,Bird
1793,Airplane
1794,Bird
1795,Airplane
1796,Bird
1797,Bird
1798,Airplane
1799,Airplane
1800,Bird
1801,Bird
1802,Airplane
1803,Airplane
1804,Bird
1805,Airplane
1806,Airplane
1807,Bird
1808,Bird
1809,Bird
1810,Airplane
1811,Airplane
1812,Bird
1813,Airplane
1814,Airplane
1815,Airplane
1816,Bird
1817,Airplane
1818,Airplane
1819,Airplane
1820,Airplane
1821,Bird
1822,Bird
1823,Airplane
1824,Airplane
1825,Airplane
1826,Bird
1827,Bird
1828,Bird
1829,Bird
1830,Bird
1831,Airplane
1832,Airplane
1833,Bird
1834,Bird
1835,Airplane
1836,Bird
1837,Bird
1838,Airplane
1839,Airplane
1840,Airplane
1841,Airplane
1842,Airplane
1843,Bird
1844,Bird
1845,Airplane
1846,Airplane
1847,Bird
1848,Airplane
1849,Bird
1850,Bird
1851,Bird
1852,Airplane
1853,Bird
1854,Bird
1855,Bird
1856,Airplane
1857,Bird
1858,Bird
1859,Airplane
1860,Bird
1861,Bird
1862,Airplane
1863,Airplane
1864,Airplane
1865,Bird
1866,Bird
1867,Airplane
1868,Bird
1869,Airplane
1870,Bird
1871,Bird
1872,Airplane
1873,Bird
1874,Bird
1875,Airplane
1876,Bird
1877,Airplane
1878,Bird
1879,Airplane
1880,Airplane
1881,Airplane
1882,Bird
1883,Bird
1884,Airplane
1885,Airplane
1886,Airplane
1887,Bird
1888,Bird
1889,Airplane
1890,Bird
1891,Bird
1892,Airplane
1893,Airplane
1894,Bird
1895,Airplane
1896,Bird
1897,Airplane
1898,Airplane
1899,Airplane
1900,Bird
1901,Bird
1902,Bird
1903,Bird
1904,Airplane
1905,Bird
1906,Airplane
1907,Bird
1908,Bird
1909,Airplane
1910,Bird
1911,Bird
1912,Bird
1913,Airplane
1914,Airplane
1915,Airplane
1916,Bird
1917,Bird
1918,Bird
1919,Bird
1920,Airplane
1921,Bird
1922,Airplane
1923,Airplane
1924,Bird
1925,Bird
1926,Airplane
1927,Airplane
1928,Airplane
1929,Bird
1930,Bird
1931,Airplane
1932,Airplane
1933,Bird
1934,Bird
1935,Airplane
1936,Bird
1937,Airplane
1938,Bird
1939,Airplane
1940,Bird
1941,Bird
1942,Bird
1943,Bird
1944,Bird
1945,Bird
1946,Bird
1947,Airplane
1948,Bird
1949,Airplane
1950,Bird
1951,Bird
1952,Bird
1953,Airplane
1954,Bird
1955,Airplane
1956,Airplane
1957,Bird
1958,Bird
1959,Bird
1960,Bird
1961,Airplane
1962,Bird
1963,Airplane
1964,Airplane
1965,Airplane
1966,Bird
1967,Bird
1968,Bird
1969,Bird
1970,Airplane
1971,Airplane
1972,Bird
1973,Bird
1974,Airplane
1975,Bird
1976,Bird
1977,Airplane
1978,Airplane
1979,Bird
1980,Airplane
1981,Airplane
1982,Bird
1983,Airplane
1984,Airplane
1985,Bird
1986,Airplane
1987,Bird
1988,Airplane
1989,Airplane
1990,Airplane
1991,Airplane
1992,Airplane
1993,Bird
1994,Bird
1995,Bird
1996,Airplane
1997,Bird
